region	sector	indout
AT	Paddy rice	0
AT	Wheat	371.585970142
AT	Cereal grains nec	866.351124275
AT	Vegetables, fruit, nuts	1550.68569265
AT	Oil seeds	169.542147274
AT	Sugar cane, sugar beet	109.094385974
AT	Plant-based fibers	1.67113662097
AT	Crops nec	205.392155562
AT	Cattle	382.805070457
AT	Pigs	928.557497776
AT	Poultry	530.256214856
AT	Meat animals nec	75.8041601392
AT	Animal products nec	54.1760702741
AT	Raw milk	1103.92739285
AT	Wool, silk-worm cocoons	0.241380799335
AT	Manure (conventional treatment)	0
AT	Manure (biogas treatment)	0
AT	Products of forestry, logging and related services (02)	3195.59872046
AT	Fish and other fishing products; services incidental of fishing (05)	39.2958211192
AT	Anthracite	0
AT	Coking Coal	0.00872417212005
AT	Other Bituminous Coal	3.72841443321e-05
AT	Sub-Bituminous Coal	0.0292284499296
AT	Patent Fuel	0.542599447202
AT	Lignite/Brown Coal	0.0181724504739
AT	BKB/Peat Briquettes	0.000100358315603
AT	Peat	4.1180469675
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	400.217994919
AT	Natural gas and services related to natural gas extraction, excluding surveying	503.74029557
AT	Natural Gas Liquids	27.2840348942
AT	Other Hydrocarbons	0
AT	Uranium and thorium ores (12)	0
AT	Iron ores	116.663158624
AT	Copper ores and concentrates	7.41165137364
AT	Nickel ores and concentrates	0
AT	Aluminium ores and concentrates	0
AT	Precious metal ores and concentrates	0.221168810107
AT	Lead, zinc and tin ores and concentrates	5.44092010796
AT	Other non-ferrous metal ores and concentrates	491.447332878
AT	Stone	399.542002159
AT	Sand and clay	1219.29392806
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	186.691608871
AT	Products of meat cattle	913.74734594
AT	Products of meat pigs	1175.44105583
AT	Products of meat poultry	611.492327508
AT	Meat products nec	2430.99286385
AT	products of Vegetable oils and fats	576.607220336
AT	Dairy products	3868.39145265
AT	Processed rice	7.34739773231
AT	Sugar	222.510151085
AT	Food products nec	11837.2378576
AT	Beverages	5412.81880229
AT	Fish products	61.9183111107
AT	Tobacco products (16)	168.125867482
AT	Textiles (17)	3183.8102907
AT	Wearing apparel; furs (18)	1148.5624549
AT	Leather and leather products (19)	1057.031496
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	12170.5546964
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
AT	Pulp	3886.2584117
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
AT	Paper and paper products	3506.23051799
AT	Printed matter and recorded media (22)	8802.68149202
AT	Coke Oven Coke	45.2014742946
AT	Gas Coke	0
AT	Coal Tar	25.6615690415
AT	Motor Gasoline	2073.71570315
AT	Aviation Gasoline	0.0929684185162
AT	Gasoline Type Jet Fuel	25.535373384
AT	Kerosene Type Jet Fuel	368.324525757
AT	Kerosene	0.0406405061632
AT	Gas/Diesel Oil	1702.19876795
AT	Heavy Fuel Oil	277.339093892
AT	Refinery Gas	1.90167628406
AT	Liquefied Petroleum Gases (LPG)	263.8105239
AT	Refinery Feedstocks	9.21636635239
AT	Ethane	0.380817652976
AT	Naphtha	63.8952195643
AT	White Spirit & SBP	3.73670043411
AT	Lubricants	37.6104564991
AT	Bitumen	26.1796700247
AT	Paraffin Waxes	0.670257164598
AT	Petroleum Coke	10.9465676881
AT	Non-specified Petroleum Products	10.8209264092
AT	Nuclear fuel	1.56645917407
AT	Plastics, basic	5834.88710315
AT	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
AT	N-fertiliser	70.5804248812
AT	P- and other fertiliser	73.5039989874
AT	Chemicals nec	1831.83505384
AT	Charcoal	5.80003088173
AT	Additives/Blending Components	0.721559816614
AT	Biogasoline	15.6061369747
AT	Biodiesels	5.34137967969
AT	Other Liquid Biofuels	24.2573537244
AT	Rubber and plastic products (25)	9162.35608081
AT	Glass and glass products	288.470398361
AT	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
AT	Ceramic goods	419.66986836
AT	Bricks, tiles and construction products, in baked clay	373.216155258
AT	Cement, lime and plaster	5765.67842723
AT	Ash for treatment, Re-processing of ash into clinker	0
AT	Other non-metallic mineral products	1324.77206681
