region	sector	indout
AT	Steam and hot water supply services	1482.89307827
AT	Collected and purified water, distribution services of water (41)	778.250459156
AT	Construction work (45)	71416.5072339
AT	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	0
AT	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	10536.8393033
AT	Retail trade services of motor fuel	630.37957835
AT	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	20463.5082749
AT	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	4067.01118021
AT	Hotel and restaurant services (55)	40678.5224431
AT	Railway transportation services	5918.34638172
AT	Other land transportation services	18186.3470259
AT	Transportation services via pipelines	701.335176018
AT	Sea and coastal water transportation services	48.2680136482
AT	Inland water transportation services	92.2281446512
AT	Air transport services (62)	6478.55538964
AT	Supporting and auxiliary transport services; travel agency services (63)	18085.227324
AT	Post and telecommunication services (64)	18109.6685857
AT	Financial intermediation services, except insurance and pension funding services (65)	20797.6836784
AT	Insurance and pension funding services, except compulsory social security services (66)	9571.90200839
AT	Services auxiliary to financial intermediation (67)	4826.71304995
AT	Real estate services (70)	35565.3895431
AT	Renting services of machinery and equipment without operator and of personal and household goods (71)	12539.2042121
AT	Computer and related services (72)	17544.8130851
AT	Research and development services (73)	4733.99820789
AT	Other business services (74)	62769.0708102
AT	Public administration and defence services; compulsory social security services (75)	30367.7117273
AT	Education services (80)	24027.4879965
AT	Health and social work services (85)	34662.8843362
AT	Food waste for treatment: incineration	304.039578583
AT	Paper waste for treatment: incineration	415.776459653
AT	Plastic waste for treatment: incineration	733.452543995
AT	Intert/metal waste for treatment: incineration	2212.09919011
AT	Textiles waste for treatment: incineration	60.2138146526
AT	Wood waste for treatment: incineration	119.845460272
AT	Oil/hazardous waste for treatment: incineration	446.071038432
AT	Food waste for treatment: biogasification and land application	49.4118604798
AT	Paper waste for treatment: biogasification and land application	8.06317264094
AT	Sewage sludge for treatment: biogasification and land application	38.357123664
AT	Food waste for treatment: composting and land application	1826.73219338
AT	Paper and wood waste for treatment: composting and land application	2.61365937427
AT	Food waste for treatment: waste water treatment	165.288999251
AT	Other waste for treatment: waste water treatment	313.919473004
AT	Food waste for treatment: landfill	39.4177200933
AT	Paper for treatment: landfill	53.7986926786
AT	Plastic waste for treatment: landfill	13.8422408554
AT	Inert/metal/hazardous waste for treatment: landfill	130.790359308
AT	Textiles waste for treatment: landfill	7.97992002751
AT	Wood waste for treatment: landfill	27.3595469993
AT	Membership organisation services n.e.c. (91)	10529.9593165
AT	Recreational, cultural and sporting services (92)	12844.7810373
AT	Other services (93)	5459.09869894
AT	Private households with employed persons (95)	111.908275184
AT	Extra-territorial organizations and bodies	0
BE	Paddy rice	0.00115649513753
BE	Wheat	420.953831861
BE	Cereal grains nec	316.545237731
BE	Vegetables, fruit, nuts	2393.81529864
BE	Oil seeds	31.6041518723
BE	Sugar cane, sugar beet	266.268325659
BE	Plant-based fibers	15.8097559107
BE	Crops nec	1456.1855144
BE	Cattle	692.009394543
BE	Pigs	1317.99756202
BE	Poultry	1246.00852878
BE	Meat animals nec	401.172780682
BE	Animal products nec	29.2304156322
BE	Raw milk	1435.30431163
BE	Wool, silk-worm cocoons	2.0275715714
BE	Manure (conventional treatment)	0
BE	Manure (biogas treatment)	0
BE	Products of forestry, logging and related services (02)	415.204882462
BE	Fish and other fishing products; services incidental of fishing (05)	316.93146928
BE	Anthracite	0
BE	Coking Coal	3.04277628416
BE	Other Bituminous Coal	19.3305044834
BE	Sub-Bituminous Coal	0
BE	Patent Fuel	2.66949012691
BE	Lignite/Brown Coal	4.35877779985
BE	BKB/Peat Briquettes	0
BE	Peat	0
BE	Crude petroleum and services related to crude oil extraction, excluding surveying	0
BE	Natural gas and services related to natural gas extraction, excluding surveying	0
BE	Natural Gas Liquids	0
BE	Other Hydrocarbons	0
BE	Uranium and thorium ores (12)	0.0137311346242
BE	Iron ores	0.465373735465
BE	Copper ores and concentrates	14.5628347342
BE	Nickel ores and concentrates	0.0343126387224
BE	Aluminium ores and concentrates	2.76508856531
BE	Precious metal ores and concentrates	0.058110882301
BE	Lead, zinc and tin ores and concentrates	0.0637655828238
BE	Other non-ferrous metal ores and concentrates	753.021425878
BE	Stone	326.4203977
BE	Sand and clay	242.608416145
BE	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	297.723192446
BE	Products of meat cattle	642.290502459
BE	Products of meat pigs	1678.79958241
BE	Products of meat poultry	1538.92607724
BE	Meat products nec	2706.67158841
BE	products of Vegetable oils and fats	741.690398088
BE	Dairy products	10133.8476987
BE	Processed rice	98.3202898311
BE	Sugar	1257.06898842
BE	Food products nec	29438.0424169
BE	Beverages	3975.96417267
BE	Fish products	1090.86191929
BE	Tobacco products (16)	848.61604532
BE	Textiles (17)	8470.25222689
BE	Wearing apparel; furs (18)	2150.33454121
BE	Leather and leather products (19)	357.324939017
BE	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	5252.80582979
BE	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
BE	Pulp	2241.7296968
BE	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
BE	Paper and paper products	2432.27840925
BE	Printed matter and recorded media (22)	12301.3511601
BE	Coke Oven Coke	98.1788896043
BE	Gas Coke	0
BE	Coal Tar	36.7364685257
BE	Motor Gasoline	9536.67501984
BE	Aviation Gasoline	0.118749166259
BE	Gasoline Type Jet Fuel	5.08126914421e-05
