region	sector	indout
AT	Paddy rice	0
AT	Wheat	333.024326343
AT	Cereal grains nec	757.29279827
AT	Vegetables, fruit, nuts	1433.33812848
AT	Oil seeds	152.022900798
AT	Sugar cane, sugar beet	94.1690206628
AT	Plant-based fibers	1.50118931292
AT	Crops nec	186.966954225
AT	Cattle	374.920308184
AT	Pigs	822.532206993
AT	Poultry	447.003887475
AT	Meat animals nec	80.1743396576
AT	Animal products nec	67.912230049
AT	Raw milk	1061.7064768
AT	Wool, silk-worm cocoons	0.216433015738
AT	Manure (conventional treatment)	0
AT	Manure (biogas treatment)	0
AT	Products of forestry, logging and related services (02)	2839.81723072
AT	Fish and other fishing products; services incidental of fishing (05)	35.2178153207
AT	Anthracite	0
AT	Coking Coal	0.00708398002168
AT	Other Bituminous Coal	3.13264162105e-05
AT	Sub-Bituminous Coal	0.0221448098106
AT	Patent Fuel	1.44996878515e-06
AT	Lignite/Brown Coal	0.00451977771827
AT	BKB/Peat Briquettes	7.5626897026e-05
AT	Peat	3.6286674692
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	390.666609422
AT	Natural gas and services related to natural gas extraction, excluding surveying	514.735213438
AT	Natural Gas Liquids	30.1784013008
AT	Other Hydrocarbons	0
AT	Uranium and thorium ores (12)	0
AT	Iron ores	55.3461345947
AT	Copper ores and concentrates	0.766182054226
AT	Nickel ores and concentrates	15.6794981453
AT	Aluminium ores and concentrates	0
AT	Precious metal ores and concentrates	0.158770460511
AT	Lead, zinc and tin ores and concentrates	3.97922254193
AT	Other non-ferrous metal ores and concentrates	380.909541193
AT	Stone	383.972026455
AT	Sand and clay	1085.96319126
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	140.815851097
AT	Products of meat cattle	737.479402038
AT	Products of meat pigs	1014.65269683
AT	Products of meat poultry	519.935581765
AT	Meat products nec	2102.23097166
AT	products of Vegetable oils and fats	318.178475609
AT	Dairy products	3225.27523251
AT	Processed rice	6.10188998545
AT	Sugar	214.889587766
AT	Food products nec	9907.89881975
AT	Beverages	2980.73700488
AT	Fish products	72.3651278363
AT	Tobacco products (16)	139.644266113
AT	Textiles (17)	2548.29219808
AT	Wearing apparel; furs (18)	928.396463902
AT	Leather and leather products (19)	854.065136355
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	9510.87162672
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
AT	Pulp	2985.94875949
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
AT	Paper and paper products	2833.51484766
AT	Printed matter and recorded media (22)	7317.27951427
AT	Coke Oven Coke	62.7889605792
AT	Gas Coke	0
AT	Coal Tar	0.982925033734
AT	Motor Gasoline	1709.48925782
AT	Aviation Gasoline	0.0408727744936
AT	Gasoline Type Jet Fuel	19.445072498
AT	Kerosene Type Jet Fuel	256.135410752
AT	Kerosene	1.45868006641
AT	Gas/Diesel Oil	1362.30024827
AT	Heavy Fuel Oil	215.415557353
AT	Refinery Gas	2.41708668303
AT	Liquefied Petroleum Gases (LPG)	93.8712275911
AT	Refinery Feedstocks	8.18321994321
AT	Ethane	0.115843695518
AT	Naphtha	59.4953362502
AT	White Spirit & SBP	0.0257721991726
AT	Lubricants	23.954146996
AT	Bitumen	23.4551986407
AT	Paraffin Waxes	2.14255478956
AT	Petroleum Coke	4.48298130944
AT	Non-specified Petroleum Products	8.02748639669
AT	Nuclear fuel	1.1381128675
AT	Plastics, basic	4864.72830972
AT	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
AT	N-fertiliser	54.9924830893
AT	P- and other fertiliser	59.3825889202
AT	Chemicals nec	1441.60982721
AT	Charcoal	6.38974490099
AT	Additives/Blending Components	0.109729149395
AT	Biogasoline	64.6438781529
AT	Biodiesels	5.42361638393
AT	Other Liquid Biofuels	19.5954352443
AT	Rubber and plastic products (25)	7013.35957076
AT	Glass and glass products	218.60081253
AT	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
AT	Ceramic goods	359.149330004
AT	Bricks, tiles and construction products, in baked clay	314.956299103
AT	Cement, lime and plaster	4758.06278303
AT	Ash for treatment, Re-processing of ash into clinker	0
AT	Other non-metallic mineral products	942.142614239
AT	Basic iron and steel and of ferro-alloys and first products thereof	3267.0726501
AT	Secondary steel for treatment, Re-processing of secondary steel into new steel	0
AT	Precious metals	339.220425952
AT	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	0
AT	Aluminium and aluminium products	3913.8418263
AT	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	0
AT	Lead, zinc and tin and products thereof	217.328429106
AT	Secondary lead for treatment, Re-processing of secondary lead into new lead	0
AT	Copper products	2358.08682708
AT	Secondary copper for treatment, Re-processing of secondary copper into new copper	0
AT	Other non-ferrous metal products	1740.01552042
AT	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0
AT	Foundry work services	1879.66468045
AT	Fabricated metal products, except machinery and equipment (28)	13941.2441752
AT	Machinery and equipment n.e.c. (29)	21814.7203196
AT	Office machinery and computers (30)	291.453805206
AT	Electrical machinery and apparatus n.e.c. (31)	11990.9549881
AT	Radio, television and communication equipment and apparatus (32)	5117.48744571
AT	Medical, precision and optical instruments, watches and clocks (33)	6431.73628871
AT	Motor vehicles, trailers and semi-trailers (34)	16092.4095403
AT	Other transport equipment (35)	4443.46353239
AT	Furniture; other manufactured goods n.e.c. (36)	8534.55919336
AT	Secondary raw materials	1051.79010524
AT	Bottles for treatment, Recycling of bottles by direct reuse	0
AT	Electricity by coal	694.02900877
AT	Electricity by gas	1580.17958946
AT	Electricity by nuclear	0.333359293537
AT	Electricity by hydro	4106.65898083
AT	Electricity by wind	213.936709504
AT	Electricity by petroleum and other oil derivatives	163.790329973
AT	Electricity by biomass and waste	623.214907933
AT	Electricity by solar photovoltaic	6.99244329268
AT	Electricity by solar thermal	0
AT	Electricity by tide, wave, ocean	0
AT	Electricity by Geothermal	0.141347178118
AT	Electricity nec	171.339051986
AT	Transmission services of electricity	4287.67450928
AT	Distribution and trade services of electricity	10964.2724233
AT	Coke oven gas	197.177181687
AT	Blast Furnace Gas	842.965386725
AT	Oxygen Steel Furnace Gas	0.000838558592147
AT	Gas Works Gas	0.000147921333876
AT	Biogas	167.19346695
AT	Distribution services of gaseous fuels through mains	5847.84170971
AT	Steam and hot water supply services	1288.70335149
AT	Collected and purified water, distribution services of water (41)	754.120230135
AT	Construction work (45)	54879.0299221
AT	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	0
AT	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	8532.4268501
AT	Retail trade services of motor fuel	523.016816645
AT	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	17182.37597
AT	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	3449.22091757
AT	Hotel and restaurant services (55)	32331.3739875
AT	Railway transportation services	4506.0112678
AT	Other land transportation services	14506.6105633
AT	Transportation services via pipelines	538.112334473
AT	Sea and coastal water transportation services	21.8128198759
AT	Inland water transportation services	59.9408989953
AT	Air transport services (62)	5159.05510037
AT	Supporting and auxiliary transport services; travel agency services (63)	14122.9230374
AT	Post and telecommunication services (64)	14338.055584
AT	Financial intermediation services, except insurance and pension funding services (65)	15221.9161227
AT	Insurance and pension funding services, except compulsory social security services (66)	7023.65288095
AT	Services auxiliary to financial intermediation (67)	3734.65449087
AT	Real estate services (70)	48746.4925864
AT	Renting services of machinery and equipment without operator and of personal and household goods (71)	9257.99552439
AT	Computer and related services (72)	13642.6124856
AT	Research and development services (73)	3542.5093683
AT	Other business services (74)	49558.4868394
AT	Public administration and defence services; compulsory social security services (75)	23998.9413897
AT	Education services (80)	17916.2465272
AT	Health and social work services (85)	25855.4630222
AT	Food waste for treatment: incineration	243.195472886
AT	Paper waste for treatment: incineration	331.600647501
AT	Plastic waste for treatment: incineration	583.58396263
AT	Intert/metal waste for treatment: incineration	1819.55025345
AT	Textiles waste for treatment: incineration	50.7846005978
AT	Wood waste for treatment: incineration	108.814949694
AT	Oil/hazardous waste for treatment: incineration	361.793597903
AT	Food waste for treatment: biogasification and land application	41.7100415003
AT	Paper waste for treatment: biogasification and land application	6.30074798803
AT	Sewage sludge for treatment: biogasification and land application	43.1453701844
AT	Food waste for treatment: composting and land application	1501.52172122
AT	Paper and wood waste for treatment: composting and land application	2.19340627561
AT	Food waste for treatment: waste water treatment	133.717271854
AT	Other waste for treatment: waste water treatment	259.248344188
AT	Food waste for treatment: landfill	36.4445514176
AT	Paper for treatment: landfill	47.5668393501
AT	Plastic waste for treatment: landfill	12.5199946075
AT	Inert/metal/hazardous waste for treatment: landfill	116.861045696
AT	Textiles waste for treatment: landfill	10.7476101011
AT	Wood waste for treatment: landfill	31.9312752839
AT	Membership organisation services n.e.c. (91)	7402.08525356
AT	Recreational, cultural and sporting services (92)	9046.01712826
AT	Other services (93)	3177.11186092
AT	Private households with employed persons (95)	90.969148564
AT	Extra-territorial organizations and bodies	0
BE	Paddy rice	1.98790704867
BE	Wheat	391.014177343
BE	Cereal grains nec	201.417457746
BE	Vegetables, fruit, nuts	1998.11537937
BE	Oil seeds	21.7018050368
BE	Sugar cane, sugar beet	206.158019559
BE	Plant-based fibers	14.6229091662
BE	Crops nec	1151.76304535
BE	Cattle	639.356268351
BE	Pigs	1122.88186768
BE	Poultry	1027.87601911
BE	Meat animals nec	466.437437689
BE	Animal products nec	24.8286962202
BE	Raw milk	1231.18556
BE	Wool, silk-worm cocoons	1.6585197011
BE	Manure (conventional treatment)	0
BE	Manure (biogas treatment)	0
BE	Products of forestry, logging and related services (02)	346.921471734
BE	Fish and other fishing products; services incidental of fishing (05)	276.637190404
BE	Anthracite	0
BE	Coking Coal	3.01918081532
BE	Other Bituminous Coal	19.1782030817
BE	Sub-Bituminous Coal	0
BE	Patent Fuel	2.31345189431
BE	Lignite/Brown Coal	1.13416507224
BE	BKB/Peat Briquettes	0
BE	Peat	0
BE	Crude petroleum and services related to crude oil extraction, excluding surveying	0
BE	Natural gas and services related to natural gas extraction, excluding surveying	0
BE	Natural Gas Liquids	0
BE	Other Hydrocarbons	0.0882985695514
BE	Uranium and thorium ores (12)	0.0136278752332
BE	Iron ores	0.0664344897576
BE	Copper ores and concentrates	7.82704854189
BE	Nickel ores and concentrates	4.79849831126
BE	Aluminium ores and concentrates	2.18897890863
BE	Precious metal ores and concentrates	0.0499597350676
BE	Lead, zinc and tin ores and concentrates	0.0731147730636
BE	Other non-ferrous metal ores and concentrates	542.886384762
BE	Stone	320.092343116
BE	Sand and clay	234.480020966
BE	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	279.15880445
BE	Products of meat cattle	823.746351077
BE	Products of meat pigs	1410.04542666
BE	Products of meat poultry	1308.12168251
BE	Meat products nec	2203.68603789
BE	products of Vegetable oils and fats	645.80149173
BE	Dairy products	8243.41843756
BE	Processed rice	58.8315433743
BE	Sugar	1001.91171626
BE	Food products nec	24415.4445568
BE	Beverages	3502.96624041
BE	Fish products	1064.32552458
BE	Tobacco products (16)	1516.67881148
BE	Textiles (17)	6461.76983524
BE	Wearing apparel; furs (18)	1873.76598544
BE	Leather and leather products (19)	308.006418796
BE	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	3992.68399365
BE	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
BE	Pulp	1883.31226455
BE	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
BE	Paper and paper products	1783.00263889
BE	Printed matter and recorded media (22)	9408.85317432
BE	Coke Oven Coke	93.7820180779
BE	Gas Coke	0
BE	Coal Tar	6.85560471699
BE	Motor Gasoline	6878.30874785
BE	Aviation Gasoline	0.102379087794
BE	Gasoline Type Jet Fuel	5.04202725696e-05
BE	Kerosene Type Jet Fuel	1110.64520397
BE	Kerosene	30.6657778357
BE	Gas/Diesel Oil	6765.81959227
BE	Heavy Fuel Oil	2030.04358271
BE	Refinery Gas	48.1019428851
BE	Liquefied Petroleum Gases (LPG)	336.549694047
BE	Refinery Feedstocks	1731.24363302
BE	Ethane	2.90704675334
BE	Naphtha	355.643252472
BE	White Spirit & SBP	98.6269594145
BE	Lubricants	38.1861388276
BE	Bitumen	304.73763325
BE	Paraffin Waxes	4.34641622084
BE	Petroleum Coke	24.5090809681
BE	Non-specified Petroleum Products	961.655244885
BE	Nuclear fuel	69.5921370213
BE	Plastics, basic	12929.2732144
BE	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
BE	N-fertiliser	42.6296166462
BE	P- and other fertiliser	175.952408477
BE	Chemicals nec	4266.27873624
BE	Charcoal	6.28809344507
BE	Additives/Blending Components	55.803831287
BE	Biogasoline	0.461504503876
BE	Biodiesels	23.0229110367
BE	Other Liquid Biofuels	23.309084524
BE	Rubber and plastic products (25)	8522.19447531
BE	Glass and glass products	1453.82085661
BE	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
BE	Ceramic goods	324.435929487
BE	Bricks, tiles and construction products, in baked clay	714.14435066
BE	Cement, lime and plaster	4720.16577987
BE	Ash for treatment, Re-processing of ash into clinker	0
BE	Other non-metallic mineral products	1545.55372943
BE	Basic iron and steel and of ferro-alloys and first products thereof	7167.54430762
BE	Secondary steel for treatment, Re-processing of secondary steel into new steel	0
BE	Precious metals	5055.5622324
BE	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	0
BE	Aluminium and aluminium products	2586.24945317
BE	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	0
BE	Lead, zinc and tin and products thereof	435.613891494
BE	Secondary lead for treatment, Re-processing of secondary lead into new lead	0
BE	Copper products	9015.62060836
BE	Secondary copper for treatment, Re-processing of secondary copper into new copper	0
BE	Other non-ferrous metal products	849.394873992
BE	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0
BE	Foundry work services	492.372152316
BE	Fabricated metal products, except machinery and equipment (28)	12637.6141674
BE	Machinery and equipment n.e.c. (29)	15470.0936908
BE	Office machinery and computers (30)	1523.08586236
