region	sector	indout
AT	Paddy rice	0
AT	Wheat	316.253827539
AT	Cereal grains nec	734.877159761
AT	Vegetables, fruit, nuts	1416.37567923
AT	Oil seeds	147.883703297
AT	Sugar cane, sugar beet	84.1796932422
AT	Plant-based fibers	1.46117557173
AT	Crops nec	175.113378852
AT	Cattle	376.199165677
AT	Pigs	810.506342565
AT	Poultry	439.61045586
AT	Meat animals nec	66.1195319939
AT	Animal products nec	47.2546088874
AT	Raw milk	1116.99087023
AT	Wool, silk-worm cocoons	0.210460502079
AT	Manure (conventional treatment)	0
AT	Manure (biogas treatment)	0
AT	Products of forestry, logging and related services (02)	2799.95314252
AT	Fish and other fishing products; services incidental of fishing (05)	34.276715532
AT	Anthracite	0
AT	Coking Coal	0.00744206058126
AT	Other Bituminous Coal	3.22481902204e-05
AT	Sub-Bituminous Coal	0.0239342196263
AT	Patent Fuel	1.49254724673e-06
AT	Lignite/Brown Coal	0.00459296822828
AT	BKB/Peat Briquettes	8.03278656754e-05
AT	Peat	3.54983380514
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	341.123530179
AT	Natural gas and services related to natural gas extraction, excluding surveying	504.870407753
AT	Natural Gas Liquids	1.09437425651
AT	Other Hydrocarbons	0
AT	Uranium and thorium ores (12)	0
AT	Iron ores	105.626898922
AT	Copper ores and concentrates	0.777217486674
AT	Nickel ores and concentrates	15.9116006419
AT	Aluminium ores and concentrates	0
AT	Precious metal ores and concentrates	0.191759691275
AT	Lead, zinc and tin ores and concentrates	4.42908678428
AT	Other non-ferrous metal ores and concentrates	403.527160854
AT	Stone	358.189833049
AT	Sand and clay	1056.4001413
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	138.628705502
AT	Products of meat cattle	784.948217854
AT	Products of meat pigs	1037.49152923
AT	Products of meat poultry	535.71604382
AT	Meat products nec	2173.38741073
AT	products of Vegetable oils and fats	444.852305064
AT	Dairy products	3324.4455124
AT	Processed rice	6.27365127821
AT	Sugar	231.254192632
AT	Food products nec	10042.6088946
AT	Beverages	4221.01531348
AT	Fish products	73.9193032851
AT	Tobacco products (16)	141.610796775
AT	Textiles (17)	2558.69907248
AT	Wearing apparel; furs (18)	966.824113535
AT	Leather and leather products (19)	890.719101495
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	9805.50207394
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
AT	Pulp	3148.22540816
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
AT	Paper and paper products	2993.4295642
AT	Printed matter and recorded media (22)	7673.97137034
AT	Coke Oven Coke	44.9162631506
AT	Gas Coke	0
AT	Coal Tar	12.7456417861
AT	Motor Gasoline	1516.10327521
AT	Aviation Gasoline	0.0487118167706
AT	Gasoline Type Jet Fuel	20.6072828641
AT	Kerosene Type Jet Fuel	255.526574627
AT	Kerosene	0.0372876117956
AT	Gas/Diesel Oil	1234.65104451
AT	Heavy Fuel Oil	191.862281256
AT	Refinery Gas	1.9402391246
AT	Liquefied Petroleum Gases (LPG)	214.464445335
AT	Refinery Feedstocks	18.4820270911
AT	Ethane	0.342583990781
AT	Naphtha	44.8164143847
AT	White Spirit & SBP	3.02262297335
AT	Lubricants	113.241033114
AT	Bitumen	16.235527611
AT	Paraffin Waxes	0.823080342099
AT	Petroleum Coke	7.84208749143
AT	Non-specified Petroleum Products	8.36818374926
AT	Nuclear fuel	1.0852438675
AT	Plastics, basic	5057.73423399
AT	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
AT	N-fertiliser	54.0691214651
AT	P- and other fertiliser	61.8847792299
AT	Chemicals nec	1541.54945318
AT	Charcoal	2.30366498698
AT	Additives/Blending Components	0.60740110088
AT	Biogasoline	15.0292472825
AT	Biodiesels	3.22126097185
AT	Other Liquid Biofuels	18.3878159309
AT	Rubber and plastic products (25)	7336.15311416
AT	Glass and glass products	238.264839586
AT	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
AT	Ceramic goods	361.80165609
AT	Bricks, tiles and construction products, in baked clay	321.381935525
AT	Cement, lime and plaster	4826.56133247
AT	Ash for treatment, Re-processing of ash into clinker	0
AT	Other non-metallic mineral products	1001.06730495
AT	Basic iron and steel and of ferro-alloys and first products thereof	3410.87401759
AT	Secondary steel for treatment, Re-processing of secondary steel into new steel	0
AT	Precious metals	357.388480681
AT	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	0
AT	Aluminium and aluminium products	4081.71235678
AT	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	0
AT	Lead, zinc and tin and products thereof	227.201185232
AT	Secondary lead for treatment, Re-processing of secondary lead into new lead	0
AT	Copper products	2475.18485902
AT	Secondary copper for treatment, Re-processing of secondary copper into new copper	0
AT	Other non-ferrous metal products	1865.53899714
AT	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0
AT	Foundry work services	2003.56343707
AT	Fabricated metal products, except machinery and equipment (28)	14365.7096003
AT	Machinery and equipment n.e.c. (29)	22736.2703911
AT	Office machinery and computers (30)	299.451494783
AT	Electrical machinery and apparatus n.e.c. (31)	12507.2796968
AT	Radio, television and communication equipment and apparatus (32)	5337.82205166
AT	Medical, precision and optical instruments, watches and clocks (33)	6726.59970139
AT	Motor vehicles, trailers and semi-trailers (34)	16380.5923397
AT	Other transport equipment (35)	4663.49864438
AT	Furniture; other manufactured goods n.e.c. (36)	8877.62748535
AT	Secondary raw materials	1160.60216833
AT	Bottles for treatment, Recycling of bottles by direct reuse	0
AT	Electricity by coal	687.113247846
AT	Electricity by gas	1507.01782155
AT	Electricity by nuclear	0.335168273936
AT	Electricity by hydro	4115.84514276
AT	Electricity by wind	171.023309676
AT	Electricity by petroleum and other oil derivatives	138.955543984
AT	Electricity by biomass and waste	596.140351342
AT	Electricity by solar photovoltaic	7.25731237454
AT	Electricity by solar thermal	0
AT	Electricity by tide, wave, ocean	0
AT	Electricity by Geothermal	0.143837134952
AT	Electricity nec	150.976806554
AT	Transmission services of electricity	4203.75526254
AT	Distribution and trade services of electricity	11166.9418109
AT	Coke oven gas	194.09694263
AT	Blast Furnace Gas	827.082870091
AT	Oxygen Steel Furnace Gas	0.000832910048279
AT	Gas Works Gas	0.000149903172508
AT	Biogas	165.567207089
AT	Distribution services of gaseous fuels through mains	6269.99447444
AT	Steam and hot water supply services	1096.39054708
AT	Collected and purified water, distribution services of water (41)	755.131489854
AT	Construction work (45)	55681.0427686
AT	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	0
AT	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	8721.62512158
AT	Retail trade services of motor fuel	520.602177846
AT	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	18348.2468401
AT	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	4181.88535871
AT	Hotel and restaurant services (55)	33985.8130521
AT	Railway transportation services	4741.07072841
AT	Other land transportation services	15023.6058031
AT	Transportation services via pipelines	567.437514288
AT	Sea and coastal water transportation services	37.7772219934
AT	Inland water transportation services	55.2143513438
AT	Air transport services (62)	5210.90371695
AT	Supporting and auxiliary transport services; travel agency services (63)	14479.407515
AT	Post and telecommunication services (64)	14759.3329043
AT	Financial intermediation services, except insurance and pension funding services (65)	15896.7768227
AT	Insurance and pension funding services, except compulsory social security services (66)	7241.31634333
AT	Services auxiliary to financial intermediation (67)	3914.11907834
AT	Real estate services (70)	50663.3959296
AT	Renting services of machinery and equipment without operator and of personal and household goods (71)	9906.30477215
AT	Computer and related services (72)	14472.0950375
AT	Research and development services (73)	3946.15986277
AT	Other business services (74)	52499.4175404
AT	Public administration and defence services; compulsory social security services (75)	24708.2562719
AT	Education services (80)	18443.3443971
AT	Health and social work services (85)	26772.9970136
AT	Food waste for treatment: incineration	255.38735251
AT	Paper waste for treatment: incineration	348.824855957
AT	Plastic waste for treatment: incineration	609.847088513
AT	Intert/metal waste for treatment: incineration	1881.74471993
AT	Textiles waste for treatment: incineration	51.1727459746
