region	sector	indout
AT	Paddy rice	0
AT	Wheat	377.345552567
AT	Cereal grains nec	889.257904345
AT	Vegetables, fruit, nuts	1635.67713008
AT	Oil seeds	172.170050649
AT	Sugar cane, sugar beet	106.803720935
AT	Plant-based fibers	1.69703926926
AT	Crops nec	203.345685143
AT	Cattle	453.627123876
AT	Pigs	803.850231732
AT	Poultry	507.802478677
AT	Meat animals nec	71.229746245
AT	Animal products nec	55.0157926183
AT	Raw milk	1170.85765419
AT	Wool, silk-worm cocoons	0.245121529059
AT	Manure (conventional treatment)	0
AT	Manure (biogas treatment)	0
AT	Products of forestry, logging and related services (02)	3315.34606389
AT	Fish and other fishing products; services incidental of fishing (05)	39.9049063799
AT	Anthracite	0
AT	Coking Coal	0.00884792135668
AT	Other Bituminous Coal	3.78622036079e-05
AT	Sub-Bituminous Coal	0.0296909716421
AT	Patent Fuel	0.584463989885
AT	Lignite/Brown Coal	0.0182099980717
AT	BKB/Peat Briquettes	0.000101865490048
AT	Peat	4.18154602777
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	348.565941199
AT	Natural gas and services related to natural gas extraction, excluding surveying	525.022412567
AT	Natural Gas Liquids	22.1481763645
AT	Other Hydrocarbons	0
AT	Uranium and thorium ores (12)	0
AT	Iron ores	116.043673327
AT	Copper ores and concentrates	0.908417974756
AT	Nickel ores and concentrates	0
AT	Aluminium ores and concentrates	0
AT	Precious metal ores and concentrates	0.224596926339
AT	Lead, zinc and tin ores and concentrates	3.26052616931
AT	Other non-ferrous metal ores and concentrates	504.171646544
AT	Stone	388.156385134
AT	Sand and clay	1193.29375439
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	174.402247016
AT	Products of meat cattle	923.726816512
AT	Products of meat pigs	1205.66377788
AT	Products of meat poultry	631.761962791
AT	Meat products nec	2491.08438026
AT	products of Vegetable oils and fats	578.06173907
AT	Dairy products	3985.89329216
AT	Processed rice	7.46267929816
AT	Sugar	227.817195045
AT	Food products nec	12133.4178945
AT	Beverages	5526.60924549
AT	Fish products	58.0366181633
AT	Tobacco products (16)	169.434140652
AT	Textiles (17)	3256.68236899
AT	Wearing apparel; furs (18)	1166.40327993
AT	Leather and leather products (19)	1072.98798576
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	12389.5733649
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
AT	Pulp	3941.53824911
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
AT	Paper and paper products	3486.94722232
AT	Printed matter and recorded media (22)	8944.24684854
AT	Coke Oven Coke	45.9020971352
AT	Gas Coke	0
AT	Coal Tar	26.3889205182
AT	Motor Gasoline	2165.82159947
AT	Aviation Gasoline	0.0926993106924
AT	Gasoline Type Jet Fuel	25.9319545936
AT	Kerosene Type Jet Fuel	364.137454966
AT	Kerosene	0.041717984346
AT	Gas/Diesel Oil	1742.01785452
AT	Heavy Fuel Oil	274.522092866
AT	Refinery Gas	1.93954725717
AT	Liquefied Petroleum Gases (LPG)	251.087090075
AT	Refinery Feedstocks	23.0685564406
AT	Ethane	0.370946233654
AT	Naphtha	65.0639427355
AT	White Spirit & SBP	3.79363094369
AT	Lubricants	136.248729647
AT	Bitumen	26.7645373867
AT	Paraffin Waxes	0.667581266482
AT	Petroleum Coke	11.1499748428
AT	Non-specified Petroleum Products	11.0008160344
AT	Nuclear fuel	1.60029670899
AT	Plastics, basic	5999.55609387
AT	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
AT	N-fertiliser	78.2384421724
AT	P- and other fertiliser	74.6440939392
AT	Chemicals nec	1860.2417204
AT	Charcoal	4.93715539623
AT	Additives/Blending Components	0.732745082958
AT	Biogasoline	18.7120623757
AT	Biodiesels	5.46080937576
AT	Other Liquid Biofuels	23.3751515971
AT	Rubber and plastic products (25)	9401.06691348
AT	Glass and glass products	277.780072402
AT	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
