region	sector	indout
AT	Paddy rice	0
AT	Wheat	337.704974447
AT	Cereal grains nec	786.572959699
AT	Vegetables, fruit, nuts	1457.87131847
AT	Oil seeds	156.381611585
AT	Sugar cane, sugar beet	99.6558328184
AT	Plant-based fibers	1.54505940216
AT	Crops nec	185.610131006
AT	Cattle	346.147542153
AT	Pigs	865.56323788
AT	Poultry	445.337080477
AT	Meat animals nec	112.36042545
AT	Animal products nec	63.5610852721
AT	Raw milk	1254.51356849
AT	Wool, silk-worm cocoons	0.222300542095
AT	Manure (conventional treatment)	0
AT	Manure (biogas treatment)	0
AT	Products of forestry, logging and related services (02)	2877.80118557
AT	Fish and other fishing products; services incidental of fishing (05)	37.5795518287
AT	Anthracite	0
AT	Coking Coal	0.00492995520881
AT	Other Bituminous Coal	2.93219523469e-05
AT	Sub-Bituminous Coal	0.0189750353261
AT	Patent Fuel	0.133935540441
AT	Lignite/Brown Coal	0.0101045173638
AT	BKB/Peat Briquettes	6.282852319e-05
AT	Peat	4.90359408979
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	428.044168153
AT	Natural gas and services related to natural gas extraction, excluding surveying	520.691427824
AT	Natural Gas Liquids	2.10764490125
AT	Other Hydrocarbons	0
AT	Uranium and thorium ores (12)	0
AT	Iron ores	47.520119822
AT	Copper ores and concentrates	0.803559318203
AT	Nickel ores and concentrates	15.7752786131
AT	Aluminium ores and concentrates	0
AT	Precious metal ores and concentrates	0.173949908594
AT	Lead, zinc and tin ores and concentrates	3.53101430442
AT	Other non-ferrous metal ores and concentrates	374.441281474
AT	Stone	446.148143356
AT	Sand and clay	1107.57911478
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	143.165418603
AT	Products of meat cattle	500.057883693
AT	Products of meat pigs	1006.91182015
AT	Products of meat poultry	463.00027516
AT	Meat products nec	1961.05647639
AT	products of Vegetable oils and fats	314.064722327
AT	Dairy products	3017.24557453
AT	Processed rice	4.92784200736
AT	Sugar	165.639485987
AT	Food products nec	9092.45948459
AT	Beverages	2845.26771374
AT	Fish products	123.997577678
AT	Tobacco products (16)	167.359587604
AT	Textiles (17)	2492.37443995
AT	Wearing apparel; furs (18)	905.506726164
AT	Leather and leather products (19)	824.305475721
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	9171.27089526
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
AT	Pulp	2842.84475921
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
AT	Paper and paper products	2670.40921924
AT	Printed matter and recorded media (22)	7228.49566046
AT	Coke Oven Coke	62.732318622
AT	Gas Coke	0
AT	Coal Tar	0.717281857927
AT	Motor Gasoline	1640.29983659
AT	Aviation Gasoline	0.0461969679539
AT	Gasoline Type Jet Fuel	16.5857172638
AT	Kerosene Type Jet Fuel	273.545658965
AT	Kerosene	0.0447546866098
AT	Gas/Diesel Oil	1288.93687085
AT	Heavy Fuel Oil	198.405923834
AT	Refinery Gas	7.04695597171
AT	Liquefied Petroleum Gases (LPG)	205.033637778
AT	Refinery Feedstocks	16.7093608994
AT	Ethane	0.0626440254651
AT	Naphtha	50.0948188724
AT	White Spirit & SBP	0.107434850482
AT	Lubricants	110.324860782
AT	Bitumen	34.8314830771
AT	Paraffin Waxes	3.61957582817
AT	Petroleum Coke	4.35652554202
AT	Non-specified Petroleum Products	10.9395010465
AT	Nuclear fuel	1.14130629654
AT	Plastics, basic	4632.82980335
AT	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
AT	N-fertiliser	57.6252117142
AT	P- and other fertiliser	57.7995226218
AT	Chemicals nec	1470.07641509
AT	Charcoal	10.8661243178
AT	Additives/Blending Components	0.130185956959
AT	Biogasoline	44.7756385149
AT	Biodiesels	6.42758581698
AT	Other Liquid Biofuels	23.052356802
AT	Rubber and plastic products (25)	6673.58881865
AT	Glass and glass products	231.551688156
AT	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
AT	Ceramic goods	326.419930428
AT	Bricks, tiles and construction products, in baked clay	316.658292428
AT	Cement, lime and plaster	4661.13334341
AT	Ash for treatment, Re-processing of ash into clinker	0
AT	Other non-metallic mineral products	980.440738708
AT	Basic iron and steel and of ferro-alloys and first products thereof	3158.58258665
AT	Secondary steel for treatment, Re-processing of secondary steel into new steel	0
AT	Precious metals	332.256598032
AT	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	0
AT	Aluminium and aluminium products	3659.40692259
AT	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	0
AT	Lead, zinc and tin and products thereof	187.882914094
AT	Secondary lead for treatment, Re-processing of secondary lead into new lead	0
AT	Copper products	2544.68841531
AT	Secondary copper for treatment, Re-processing of secondary copper into new copper	0
AT	Other non-ferrous metal products	1693.76933214
AT	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0
AT	Foundry work services	1916.90727765
AT	Fabricated metal products, except machinery and equipment (28)	12354.2016209
AT	Machinery and equipment n.e.c. (29)	22911.1504437
AT	Office machinery and computers (30)	301.194719218
AT	Electrical machinery and apparatus n.e.c. (31)	11157.8014086
AT	Radio, television and communication equipment and apparatus (32)	4692.03596996
AT	Medical, precision and optical instruments, watches and clocks (33)	5642.25728925
AT	Motor vehicles, trailers and semi-trailers (34)	14839.2454835
AT	Other transport equipment (35)	3805.17149909
AT	Furniture; other manufactured goods n.e.c. (36)	8133.05438885
AT	Secondary raw materials	876.611760282
AT	Bottles for treatment, Recycling of bottles by direct reuse	0
AT	Electricity by coal	723.010347809
AT	Electricity by gas	1578.95640691
AT	Electricity by nuclear	0.331964334149
AT	Electricity by hydro	3960.35706833
AT	Electricity by wind	148.594902275
AT	Electricity by petroleum and other oil derivatives	181.275112783
AT	Electricity by biomass and waste	593.192506159
AT	Electricity by solar photovoltaic	6.63853058458
AT	Electricity by solar thermal	0
AT	Electricity by tide, wave, ocean	0
AT	Electricity by Geothermal	0.131467180359
AT	Electricity nec	161.577422295
AT	Transmission services of electricity	4229.43663696
AT	Distribution and trade services of electricity	11086.8871723
AT	Coke oven gas	192.676800135
AT	Blast Furnace Gas	828.888949037
AT	Oxygen Steel Furnace Gas	0.000841939370809
AT	Gas Works Gas	0.000146485075565
AT	Biogas	158.346231521
AT	Distribution services of gaseous fuels through mains	6543.50147265
AT	Steam and hot water supply services	1237.84033549
AT	Collected and purified water, distribution services of water (41)	744.128969994
AT	Construction work (45)	49767.2876913
AT	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	0
AT	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	8015.56830344
AT	Retail trade services of motor fuel	521.646433027
AT	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	16293.9172458
