region	sector	indout
AT	Paddy rice	0
AT	Wheat	392.018568837
AT	Cereal grains nec	835.574978742
AT	Vegetables, fruit, nuts	1644.5895834
AT	Oil seeds	166.859614758
AT	Sugar cane, sugar beet	98.0763818349
AT	Plant-based fibers	1.63883367511
AT	Crops nec	167.943986973
AT	Cattle	393.830377344
AT	Pigs	886.669769197
AT	Poultry	495.374410873
AT	Meat animals nec	74.3388736982
AT	Animal products nec	85.7379812115
AT	Raw milk	1147.54311132
AT	Wool, silk-worm cocoons	0.236731350105
AT	Manure (conventional treatment)	0
AT	Manure (biogas treatment)	0
AT	Products of forestry, logging and related services (02)	3196.3321669
AT	Fish and other fishing products; services incidental of fishing (05)	38.5362365699
AT	Anthracite	0
AT	Coking Coal	0.0081383990588
AT	Other Bituminous Coal	3.56277326883e-05
AT	Sub-Bituminous Coal	0.0278137079092
AT	Patent Fuel	0.482037037688
AT	Lignite/Brown Coal	0.016782109535
AT	BKB/Peat Briquettes	9.29020881366e-05
AT	Peat	3.82965779695
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	365.589572193
AT	Natural gas and services related to natural gas extraction, excluding surveying	517.037890089
AT	Natural Gas Liquids	20.4717529046
AT	Other Hydrocarbons	0
AT	Uranium and thorium ores (12)	0
AT	Iron ores	62.9412191622
AT	Copper ores and concentrates	0.851907069233
AT	Nickel ores and concentrates	0
AT	Aluminium ores and concentrates	0
AT	Precious metal ores and concentrates	0.211345649538
AT	Lead, zinc and tin ores and concentrates	1.12021894962
AT	Other non-ferrous metal ores and concentrates	448.199971818
AT	Stone	357.61105629
AT	Sand and clay	1132.39974345
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	150.236261329
AT	Products of meat cattle	885.799543702
AT	Products of meat pigs	1235.85949954
AT	Products of meat poultry	656.063322616
AT	Meat products nec	660.599878645
AT	products of Vegetable oils and fats	418.33004687
AT	Dairy products	3951.81217925
AT	Processed rice	6.98047415321
AT	Sugar	232.86417593
AT	Food products nec	12312.1021902
AT	Beverages	5284.66336436
AT	Fish products	54.3516659921
AT	Tobacco products (16)	185.975303423
AT	Textiles (17)	3091.11320941
AT	Wearing apparel; furs (18)	1094.93732152
AT	Leather and leather products (19)	1009.89894106
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	11487.4947253
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
AT	Pulp	3461.47134463
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
AT	Paper and paper products	3327.68725816
AT	Printed matter and recorded media (22)	8609.82405812
AT	Coke Oven Coke	63.7466284216
AT	Gas Coke	0
AT	Coal Tar	23.1593144538
AT	Motor Gasoline	2080.51216964
AT	Aviation Gasoline	0.067142986985
AT	Gasoline Type Jet Fuel	23.7133676262
AT	Kerosene Type Jet Fuel	285.004178592
AT	Kerosene	0.0366504475244
AT	Gas/Diesel Oil	1648.02021156
AT	Heavy Fuel Oil	252.69328478
AT	Refinery Gas	1.81877281814
AT	Liquefied Petroleum Gases (LPG)	176.58308741
AT	Refinery Feedstocks	22.0032851083
AT	Ethane	0.428186848181
AT	Naphtha	66.1699247578
AT	White Spirit & SBP	3.36242549915
AT	Lubricants	117.104765708
AT	Bitumen	28.976987169
AT	Paraffin Waxes	0.402347288885
AT	Petroleum Coke	10.1993564015
AT	Non-specified Petroleum Products	10.3441060074
AT	Nuclear fuel	1.50138512154
AT	Plastics, basic	5607.10766372
AT	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
AT	N-fertiliser	61.0998606214
AT	P- and other fertiliser	70.1527850988
AT	Chemicals nec	1728.31833029
AT	Charcoal	2.34533820664
AT	Additives/Blending Components	0.687934713509
AT	Biogasoline	15.9142368598
AT	Biodiesels	5.08599794129
AT	Other Liquid Biofuels	20.5433490875
